Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.223478872007068
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.54455011524574
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.7182233703076
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.77714799227799
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.592742967779037
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.12173012173012
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.4056175404138
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.40468376195106
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,14.7726575989848
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.63264573733546
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.39884957289227
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.04225147673512
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,21.9769078065259
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.510647559277094
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.90487115816925
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.84240729590088
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.39813065774681
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.74110771521393
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.631204805964476
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.34005431673023
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.53946469560316
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.31230587447531
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.2634631138367
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.94252335631484
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,21.7058124398664
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.92328037940501
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.253533188747507
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0583840218352736
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.06515172319099
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.13758365931038
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.37478265803136
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,13.5993749178773
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.044282072685485
Chad,TCD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0942281870969025
